STATE NAME,CAS NUMBER,SUBSTANCE,DETECTED
Louisiana,,,false
Louisiana,50-32-8,,false
Louisiana,,Benzo[a]pyrene,false
Louisiana,50-32-8,,false
Louisiana,50-32-8,,false
Louisiana,,Benzo[a]pyrene,false
Louisiana,,Benzo[a]pyrene,false
Louisiana,,,false
Louisiana,50-32-8,,false
Louisiana,,Benzo[a]pyrene,false
Louisiana,50-32-8,,false
Louisiana,,Benzo[a]pyrene,false
,,,false
,193-39-5,,
,,Indeno[1 2 3-cd]pyrene,
,,,false
,95-47-6,,
,,o-Xylene,
,193-39-5,,
,193-39-5,,false
,,Indeno[1 2 3-cd]pyrene,
,,Indeno[1 2 3-cd]pyrene,false
,,,false
,193-39-5,,false
,,Indeno[1 2 3-cd]pyrene,false
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,193-39-5,,
Louisiana,,Indeno[1 2 3-cd]pyrene,
Louisiana,193-39-5,,
Louisiana,,Indeno[1 2 3-cd]pyrene,
Louisiana,,,
Louisiana,,,
Louisiana,,,false
Louisiana,,,false
Louisiana,,,
Louisiana,193-39-5,,
Louisiana,,Indeno[1 2 3-cd]pyrene,
Louisiana,193-39-5,,
Louisiana,,Indeno[1 2 3-cd]pyrene,
Louisiana,,,false
Louisiana,,,false
Louisiana,193-39-5,,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
Louisiana,,,false
Louisiana,193-39-5,,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
Louisiana,193-39-5,,false
Louisiana,193-39-5,,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
Louisiana,,,false
Louisiana,193-39-5,,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
Louisiana,193-39-5,,false
Louisiana,,Indeno[1 2 3-cd]pyrene,false
,100-41-4,,
,,Ethylbenzene,
,179601-23-1,,
,,m p-Xylene,
Louisiana,,,
Louisiana,,,
,136777-61-2,,
,,m-Xylene & p-Xylene,
Louisiana,,,
Louisiana,136777-61-2,,
Louisiana,,m-Xylene & p-Xylene,
,136777-61-2,,
Louisiana,136777-61-2,,
,,m-Xylene & p-Xylene,
Louisiana,,m-Xylene & p-Xylene,
,,,true
,108-88-3,,
,,Toluene,
,,,true
,100-41-4,,
,,Ethylbenzene,
,108-88-3,,
,108-88-3,,true
,,Toluene,
,,Toluene,true
,,,true
,108-88-3,,true
,,Toluene,true
,95-47-6,,
,,o-Xylene,
,71-43-2,,
,,Benzene,
,179601-23-1,,
,,m p-Xylene,
,71-43-2,,
,,Benzene,
,71-43-2,,
,,Benzene,
,,,true
,,,true
,71-43-2,,true
,,Benzene,true
,,,true
,71-43-2,,true
,,Benzene,true
,,,true
,108-88-3,,
,,Toluene,
,,,true
,100-41-4,,
,,Ethylbenzene,
,179601-23-1,,
,,m p-Xylene,
,95-47-6,,
,,o-Xylene,
,108-88-3,,
,108-88-3,,true
,,Toluene,
,,Toluene,true
,,,true
,108-88-3,,true
,,Toluene,true
,71-43-2,,
,,Benzene,
,,,true
,,,true
,71-43-2,,true
,,Benzene,true
,,,true
,71-43-2,,true
,,Benzene,true
Louisiana,,,
Louisiana,,,
,136777-61-2,,
,,m-Xylene & p-Xylene,
Louisiana,,,
Louisiana,136777-61-2,,
Louisiana,,m-Xylene & p-Xylene,
,136777-61-2,,
Louisiana,136777-61-2,,
,,m-Xylene & p-Xylene,
Louisiana,,m-Xylene & p-Xylene,
,,,false
,,,false
Louisiana,,,false
,,,false
Louisiana,,,false
Louisiana,,,false
,,,false
Louisiana,,,false
,136777-61-2,,false
,,m-Xylene & p-Xylene,false
,,,false
,136777-61-2,,false
,,m-Xylene & p-Xylene,false
Louisiana,136777-61-2,,false
Louisiana,,m-Xylene & p-Xylene,false
Louisiana,,,false
Louisiana,136777-61-2,,false
Louisiana,,m-Xylene & p-Xylene,false
Louisiana,136777-61-2,,false
,136777-61-2,,false
Louisiana,136777-61-2,,false
Louisiana,,m-Xylene & p-Xylene,false
,,m-Xylene & p-Xylene,false
Louisiana,,m-Xylene & p-Xylene,false
,,,false
Louisiana,,,false
Louisiana,136777-61-2,,false
Louisiana,,m-Xylene & p-Xylene,false
,136777-61-2,,false
Louisiana,136777-61-2,,false
,,m-Xylene & p-Xylene,false
Louisiana,,m-Xylene & p-Xylene,false
,179601-23-1,,
,,m p-Xylene,
,,,true
,,,true
,179601-23-1,,true
,,m p-Xylene,true
,,,true
,179601-23-1,,true
,,m p-Xylene,true
,95-47-6,,
,,o-Xylene,
,,,true
,,,true
,95-47-6,,true
,,o-Xylene,true
,,,true
,95-47-6,,true
,,o-Xylene,true
,100-41-4,,
,,Ethylbenzene,
,,,true
,,,true
,100-41-4,,true
,,Ethylbenzene,true
,,,true
,100-41-4,,true
,,Ethylbenzene,true
,179601-23-1,,
,,m p-Xylene,
,,,true
,,,true
,179601-23-1,,true
,,m p-Xylene,true
,,,true
,179601-23-1,,true
,,m p-Xylene,true
,218-01-9,,
,,Chrysene,
,100-41-4,,
,,Ethylbenzene,
,95-47-6,,
,,o-Xylene,
,,,true
,,,true
,,,true
,,,true
,100-41-4,,true
,,Ethylbenzene,true
,,,true
,100-41-4,,true
,,Ethylbenzene,true
,95-47-6,,true
,,o-Xylene,true
,,,true
,95-47-6,,true
,,o-Xylene,true
,95-47-6,,
,,o-Xylene,
